Huset | Prisoner;thu;10:00;118;Koki;7.6
Tillsammans 99 | Together 99;thu;10:00;115;CineStar 5;6.5
Dancing Queen;thu;10:15;90;CineStar 1;7.5
El sueño de la Sultana | Sultana's Dream | Sultanas Traum;thu;10:15;86;CineStar 4;6.8
København findes ikke | Copenhagen Does Not Exist;thu;10:30;99;CineStar 3;5.9
Future North Präsentation: Indigenes Filmschaffen;thu;10:45;120;Filmhaus 1;6.6
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;thu;10:45;83;CineStar 6;6.8
Roy Andersson: Die frühen Jahre;thu;10:45;71;CineStar 2;6.6
Nordic Shorts 2: Inbetween;thu;12:30;83;Koki;6.4
Waldhusener Forst – Wald voller Geschichten | Waldhusener Forst – Forest of Stories;thu;12:30;25;InfinityDome;5.8
Stille Liv | The Quiet Migration;thu;13:00;102;CineStar 5;6.3
Elaha;thu;13:15;110;CineStar 7;7.6
Gategutter | Boys From the Streets | Gassenjungen;thu;13:15;77;CineStar 4;6.5
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;thu;13:15;95;CineStar 1;6.7
Paradiset Brinner | Paradise Is Burning;thu;13:30;108;Kolosseum;6.8
Superposition;thu;13:30;102;CineStar 3;6.3
Blomster;thu;13:45;65;CineStar 2;5.9
Máhccan – Kotiinpaluu | Homecoming;thu;13:45;76;CineStar 6;7.6
Det är en dag imorgon också | Tomorrow's Another Day;thu;15:00;90;Koki;7.4
Die Saat | The Seed;thu;16:00;82;CineStar 5;5.8
Für Immer | For Ever;thu;16:15;87;CineStar 7;7.5
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
The Small Confession + 511 Best Photographs of Mars;thu;16:15;98;CineStar 4;7.8
Å Øve | Practice;thu;16:30;79;Kolosseum;7.5
Vintersaga;thu;16:30;81;CineStar 3;7.3
!Aitsa;thu;16:45;89;CineStar 6;8.8
Shorts 14+: Eine Handbreit über dem Boden;thu;16:45;73;CineStar 2;7.2
VR Expanded;thu;17:00;84;InfinityDome;5.9
Being a Human Person;thu;17:30;90;Koki;7.6
Omnejd;thu;18:45;42;InfinityDome;8.0
Tilverur | Solitude;thu;19:00;75;CineStar 5;7.7
De umyndige | Bravehearts;thu;19:15;71;CineStar 1;7.3
Flickorna Gyurkovics | A Sister of Six | Die sieben Töchter der Frau Gyurkovics;thu;19:15;102;CineStar 4;7.1
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;thu;19:15;109;CineStar 7;5.8
Bastarden | The Promised Land | King’s Land;thu;19:30;127;CineStar 3;7.8
Ellos eatnu – La elva leve | Let the River Flow;thu;19:30;122;Kolosseum;7.7
Inger & det dårlige selskab | Mrs Hansen & The Bad Companions;thu;19:45;90;CineStar 6;8.2
Shorts 16+: Wohin mit unseren Träumen?;thu;19:45;73;CineStar 2;7.0
Estonia;thu;20:00;90;Koki;6.9
100 Jahre Planetarien;thu;20:15;58;InfinityDome;8.7
Slow;thu;22:00;108;CineStar 5;7.5
Käpy selän alla | Under Your Skin | Tannenzapfen unter dem Rücken;thu;22:15;89;CineStar 4;6.7
Nordic Shorts 4: The Nuclear Family;thu;22:15;74;CineStar 1;8.0
Shorts: Leben im Konflikt;thu;22:15;72;CineStar 7;7.5
Je'vida;thu;22:30;99;Kolosseum;7.5
Miraklet i Gullspång | The Gullspång Miracle;thu;22:30;109;Koki;8.3
Mummola | Family Time;thu;22:30;116;CineStar 3;6.4
Den siste filmen | The Last Movie;thu;22:45;83;CineStar 6;8.3
Ola – En helt vanlig uvanlig fyr | Being Ola;thu;22:45;72;CineStar 2;7.7
