And the King Said, What a Fantastic Machine | Fantastic Machine;wed;16:45;85;CineStar 6;7.2
Nordic Shorts 1: Cracks in the Exterior;wed;16:45;71;CineStar 2;6.0
Nordic Shorts 2: Inbetween;wed;19:45;83;CineStar 2;6.8
VR Expanded;wed;20:30;84;InfinityDome;8.3
Nordic Shorts 3: Real Fake Truths;wed;22:15;74;CineStar 1;5.1
Sånger från andra våningen | Songs from the Second Floor;wed;22:45;99;CineStar 2;7.5
Huset | Prisoner;thu;10:00;118;Koki;7.6
København findes ikke | Copenhagen Does Not Exist;thu;10:30;99;CineStar 3;5.9
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;thu;10:45;83;CineStar 6;6.8
Roy Andersson: Die frühen Jahre;thu;10:45;71;CineStar 2;7.5
Stille Liv | The Quiet Migration;thu;13:00;102;CineStar 5;6.3
Elaha;thu;13:15;110;CineStar 7;7.6
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;thu;13:15;95;CineStar 1;6.7
Die Saat | The Seed;thu;16:00;82;CineStar 5;7.2
Für Immer | For Ever;thu;16:15;87;CineStar 7;7.5
Vintersaga;thu;16:30;81;CineStar 3;7.3
!Aitsa;thu;16:45;89;CineStar 6;8.8
Tilverur | Solitude;thu;19:00;75;CineStar 5;7.7
De umyndige | Bravehearts;thu;19:15;71;CineStar 1;8.6
Inger & det dårlige selskab | Mrs Hansen & The Bad Companions;thu;19:45;90;CineStar 6;8.2
Shorts 16+: Wohin mit unseren Träumen?;thu;19:45;73;CineStar 2;7.1
Mummola | Family Time;thu;22:30;116;CineStar 3;5.9
Ola – En helt vanlig uvanlig fyr | Being Ola;thu;22:45;72;CineStar 2;7.7
Miraklet i Gullspång | The Gullspång Miracle;fri;10:45;109;CineStar 6;8.3
Om det oändliga | About Endlessness | Über die Unendlichkeit;fri;10:45;78;CineStar 2;6.8
Dom kallar oss mods | They Call Us Misfits | Sie nennen uns Mods;fri;13:15;100;CineStar 4;7.3
Hammerbrook Blues;fri;13:15;65;CineStar 7;8.4
Handen på Hjärtat | Out of Touch;fri;15:00;132;Koki;6.9
Filmforum Shorts: (Be)Rauschend;fri;16:15;54;CineStar 7;7.5
Shorts 10+: Verborgene Orte;fri;16:15;78;CineStar 1;9.0
Arkitekten | The Architect;fri;17:30;76;Koki;6.9
VR Expanded;fri;18:15;84;InfinityDome;8.3
Medan staden sover | While the City Sleeps;fri;19:15;102;CineStar 4;5.9
Paradiset Brinner | Paradise Is Burning;fri;19:30;108;CineStar 3;6.8
Paradiset Brinner | Paradise Is Burning;fri;19:30;108;CineStar 3;6.8
Fedrelandet | Songs of Earth;fri;19:45;90;CineStar 6;7.3
Mein Falke | My Falcon;fri;22:15;105;CineStar 7;7.6
Nordic Shorts 5: Broken Connections;fri;22:15;87;CineStar 1;7.1
Ellos eatnu – La elva leve | Let the River Flow;fri;22:30;122;CineStar 3;7.7
Ilveskuiskaaja | Lynx Man;fri;22:45;82;CineStar 6;7.8
Arkitekten | The Architect;sat;10:00;76;CineStar 5;6.9
Togoland Projections | Togoland Projektionen;sat;10:15;96;CineStar 7;7.2
Inger & det dårlige selskab | Mrs Hansen & The Bad Companions;sat;10:30;90;Filmhaus 2;8.2
Slow;sat;10:30;108;Kolosseum;7.5
Heartist;sat;13:00;51;CineStar 5;7.9
Mummola | Family Time;sat;13:30;116;CineStar 3;5.9
Neona Pavasaris | Neon Spring;sat;13:45;102;CineStar 2;5.9
Hugo Hercules & The Wild West / The Artist W. H. D. Koerner;sat;16:15;88;CineStar 7;7.6
Spiele für Schulkinder + estnische Kurzfilme;sat;16:15;108;CineStar 4;6.0
De umyndige | Bravehearts;sat;19:15;71;CineStar 1;8.6
Vi lover et helvete | Saving the Fucking Planet E4-6;sat;19:45;210;CineStar 2;7.9
Nordic Shorts 2: Inbetween;sat;22:15;83;CineStar 1;6.8
Nordic Shorts 3: Real Fake Truths;sat;22:30;74;Koki;5.1
Um Menino;sun;10:00;49;InfinityDome;3.8
Tatort – Borowski und das unschuldige Kind von Wacken | Tatort – Borowski and the Innocent Child of Wacken;sun;10:15;88;CineStar 7;7.4
Ung Flukt | The Wayward Girl | Die jungen Sünder;sun;10:15;94;CineStar 4;6.6
Vintersaga;sun;10:30;81;CineStar 3;7.3
Opus 136;sun;11:44;10;InfinityDome;6.9
Afturelding | Coach | Balls;sun;13:30;88;Koki;7.9
Omnejd;sun;14:30;43;InfinityDome;7.1
København findes ikke | Copenhagen Does Not Exist;sun;19:00;99;CineStar 5;5.9
Tillsammans! | Together! | Zusammen!;sun;20:00;106;Koki;7.4
