Nordic Shorts 1: Cracks in the Exterior;wed;16:45;71;CineStar 2;3.7
Nordic Shorts 2: Inbetween;wed;19:45;83;CineStar 2;6.4
Ilveskuiskaaja | Lynx Man;wed;22:00;82;CineStar 5;7.8
Poetas | The Poet;wed;22:15;112;CineStar 4;7.3
Nordic Shorts 2: Inbetween;thu;12:30;83;Koki;6.4
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
The Small Confession + 511 Best Photographs of Mars;thu;16:15;98;CineStar 4;7.8
Shorts 14+: Eine Handbreit über dem Boden;thu;16:45;73;CineStar 2;7.2
Estonia;thu;20:00;90;Koki;6.9
Slow;thu;22:00;108;CineStar 5;7.5
Päikeseaeg | Sundial;fri;10:00;65;Koki;6.6
Future North Präsentation: Baltisches Filmschaffen;fri;10:45;45;Filmhaus 1;8.9
Slow;fri;13:30;108;CineStar 3;7.5
A Sentimental Short Story + Motorcycle Summer;fri;16:15;81;CineStar 4;7.7
Shorts 10+: Verborgene Orte;fri;16:15;78;CineStar 1;7.8
Poetas | The Poet;fri;16:30;112;Kolosseum;7.3
Savvusanna sõsarad | Smoke Sauna Sisterhood;fri;22:00;89;CineStar 5;7.8
Nordic Shorts 5: Broken Connections;fri;22:15;87;CineStar 1;4.2
Svārstības | Before the Light;fri;22:30;75;Koki;5.7
Ilveskuiskaaja | Lynx Man;fri;22:45;82;CineStar 6;7.8
Shorts 4+: Spiel Kino;sat;10:00;14;Koki;7.7
Slow;sat;10:30;108;Kolosseum;7.5
Svārstības | Before the Light;sat;10:45;75;CineStar 6;5.7
Nordic Shorts 5: Broken Connections;sat;12:30;87;Koki;4.2
Shorts 10+: Verborgene Orte;sat;13:15;78;CineStar 1;7.8
Neona Pavasaris | Neon Spring;sat;13:45;102;CineStar 2;5.9
Spiele für Schulkinder + estnische Kurzfilme;sat;16:15;108;CineStar 4;7.0
Poetas | The Poet;sat;19:30;112;CineStar 3;7.3
Nordic Shorts 1: Cracks in the Exterior;sat;20:00;71;Koki;3.7
Nordic Shorts 2: Inbetween;sat;22:15;83;CineStar 1;6.4
Sigade revolutsioon | Revolution of Pigs | Revolution der Schweine;sat;22:15;98;CineStar 4;6.2
Päikeseaeg | Sundial;sun;10:45;65;Filmhaus 1;6.6
Estonia;sun;17:30;90;Koki;6.9
Poetas | The Poet;sun;19:15;112;CineStar 4;7.3
Savvusanna sõsarad | Smoke Sauna Sisterhood;sun;19:15;89;CineStar 7;7.8
Shorts 14+: Eine Handbreit über dem Boden;sun;19:15;73;CineStar 1;7.2
Slow;sun;19:30;108;Kolosseum;7.5
