Huset | Prisoner;wed;19:00;118;CineStar 5;7.6
Nordic Shorts 2: Inbetween;wed;19:45;83;CineStar 2;7.6
Twice Colonized;wed;19:45;92;CineStar 6;6.4
Heima er best | Descendants;wed;20:00;90;Koki;8.1
Nordic Shorts 3: Real Fake Truths;wed;22:15;74;CineStar 1;7.3
Poetas | The Poet;wed;22:15;112;CineStar 4;7.3
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;wed;22:30;83;Koki;6.8
Tilverur | Solitude;wed;22:30;75;Kolosseum;7.7
Sånger från andra våningen | Songs from the Second Floor;wed;22:45;99;CineStar 2;7.5
Huset | Prisoner;thu;10:00;118;Koki;7.6
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;thu;10:45;83;CineStar 6;6.8
Nordic Shorts 2: Inbetween;thu;12:30;83;Koki;7.6
Superposition;thu;13:30;102;CineStar 3;6.3
Die Saat | The Seed;thu;16:00;82;CineStar 5;7.6
Für Immer | For Ever;thu;16:15;87;CineStar 7;7.5
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
VR Expanded;thu;17:00;84;InfinityDome;7.5
Being a Human Person;thu;17:30;90;Koki;7.6
De umyndige | Bravehearts;thu;19:15;71;CineStar 1;8.1
Flickorna Gyurkovics | A Sister of Six | Die sieben Töchter der Frau Gyurkovics;thu;19:15;102;CineStar 4;7.1
Shorts 16+: Wohin mit unseren Träumen?;thu;19:45;73;CineStar 2;7.2
Den siste filmen | The Last Movie;thu;22:45;83;CineStar 6;8.3
København findes ikke | Copenhagen Does Not Exist;fri;10:15;99;CineStar 4;5.9
Opus 136;fri;11:47;10;InfinityDome;4.7
Nordic Shorts 4: The Nuclear Family;fri;12:30;73;Koki;7.8
Roselil og stentrolden | Rosa and the Stone Troll;fri;13:15;75;CineStar 1;7.3
Handen på Hjärtat | Out of Touch;fri;15:00;132;Koki;6.9
Drones of the Deep | Drones of the Deep - multimedia presentation by Tom Kwasnitschka | Ein Spaziergang auf dem Meeresgrund – Multimedialer Vortrag von Tom Kwasnitschka;fri;15:15;45;InfinityDome;6.9
Superposition;fri;16:00;102;CineStar 5;6.3
Liv Ullmann – A Road Less Travelled;fri;16:45;102;CineStar 6;7.6
VR Expanded;fri;18:15;84;InfinityDome;7.5
Die Amitié | Amitié;fri;19:15;102;CineStar 7;7.6
Fedrelandet | Songs of Earth;fri;19:45;90;CineStar 6;7.3
Savvusanna sõsarad | Smoke Sauna Sisterhood;fri;22:00;89;CineStar 5;7.8
Ellos eatnu – La elva leve | Let the River Flow;fri;22:30;122;CineStar 3;7.7
Ilveskuiskaaja | Lynx Man;fri;22:45;82;CineStar 6;7.8
Shorts 4+: Spiel Kino;sat;10:00;14;Koki;7.0
Togoland Projections | Togoland Projektionen;sat;10:15;96;CineStar 7;7.7
Máhccan – Kotiinpaluu | Homecoming;sat;10:45;77;Filmhaus 1;7.6
Nordic Shorts 5: Broken Connections;sat;12:30;87;Koki;6.7
Heartist;sat;13:00;51;CineStar 5;7.9
Heartist;sat;13:00;51;CineStar 5;7.9
Helke Sander: Aufräumen | Helke Sander: Cleaning House;sat;13:15;82;CineStar 7;6.8
Mummola | Family Time;sat;13:30;116;CineStar 3;7.6
Fedrelandet | Songs of Earth;sat;13:45;90;CineStar 6;7.3
Legend of the Enchanted Reef | Die Legende des Zauberriffs;sat;14:00;43;InfinityDome;4.3
Shorts: Miteinander;sat;14:30;79;Koki;6.1
København findes ikke | Copenhagen Does Not Exist;sat;16:00;99;CineStar 5;5.9
