Norwegian Dream;wed;19:15;97;CineStar 1;6.6
Twice Colonized;wed;19:45;92;CineStar 6;6.4
VR Expanded;wed;20:30;84;InfinityDome;7.5
Nordic Shorts 3: Real Fake Truths;wed;22:15;74;CineStar 1;7.3
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;wed;22:30;83;Koki;6.8
Tilverur | Solitude;wed;22:30;75;Kolosseum;7.7
Sånger från andra våningen | Songs from the Second Floor;wed;22:45;99;CineStar 2;7.5
Tillsammans 99 | Together 99;thu;10:00;115;CineStar 5;6.5
København findes ikke | Copenhagen Does Not Exist;thu;10:30;99;CineStar 3;5.9
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;thu;10:45;83;CineStar 6;6.8
Paradiset Brinner | Paradise Is Burning;thu;13:30;108;Kolosseum;6.8
Máhccan – Kotiinpaluu | Homecoming;thu;13:45;77;CineStar 6;7.6
Det är en dag imorgon också | Tomorrow's Another Day;thu;15:00;90;Koki;7.4
Für Immer | For Ever;thu;16:15;87;CineStar 7;7.5
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
Being a Human Person;thu;17:30;90;Koki;7.6
De umyndige | Bravehearts;thu;19:15;71;CineStar 1;8.1
Flickorna Gyurkovics | A Sister of Six | Die sieben Töchter der Frau Gyurkovics;thu;19:15;102;CineStar 4;7.1
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;thu;19:15;109;CineStar 7;5.8
Ellos eatnu – La elva leve | Let the River Flow;thu;19:30;122;Kolosseum;7.7
Slow;thu;22:00;108;CineStar 5;7.5
Käpy selän alla | Under Your Skin | Tannenzapfen unter dem Rücken;thu;22:15;89;CineStar 4;6.7
Nordic Shorts 4: The Nuclear Family;thu;22:15;74;CineStar 1;7.8
Den siste filmen | The Last Movie;thu;22:45;83;CineStar 6;8.3
Forvandlingen – frihed kommer indefra | It's Always Been Me;fri;10:15;72;CineStar 1;7.3
Å Øve | Practice;fri;10:30;79;CineStar 3;7.3
Nordic Shorts 4: The Nuclear Family;fri;12:30;73;Koki;7.8
Hammerbrook Blues;fri;13:15;65;CineStar 7;7.2
Slow;fri;13:30;108;CineStar 3;7.5
Superposition;fri;16:00;102;CineStar 5;6.3
A Sentimental Short Story + Motorcycle Summer;fri;16:15;81;CineStar 4;6.2
Filmforum Shorts: (Be)Rauschend;fri;16:15;54;CineStar 7;8.8
Shorts 10+: Verborgene Orte;fri;16:15;78;CineStar 1;7.8
Poetas | The Poet;fri;16:30;112;Kolosseum;7.3
Arkitekten | The Architect;fri;17:30;76;Koki;6.9
Paradiset Brinner | Paradise Is Burning;fri;19:30;108;CineStar 3;6.8
Afturelding | Coach | Balls;fri;19:45;88;CineStar 2;7.9
Non-Face;fri;21:00;45;InfinityDome;5.6
Mein Falke | My Falcon;fri;22:15;105;CineStar 7;5.9
Bastarden | The Promised Land | King’s Land;fri;22:30;127;Kolosseum;7.1
Svārstības | Before the Light;fri;22:30;75;Koki;4.7
Shorts 4+: Spiel Kino;sat;10:00;14;Koki;7.0
Roselil og stentrolden | Rosa and the Stone Troll;sat;10:15;75;CineStar 1;7.3
Ellos eatnu – La elva leve | Let the River Flow;sat;10:30;122;CineStar 3;7.7
Terrorister – en film om dom dömda | Terrorists: The Kids They Sentenced;sat;13:15;85;CineStar 4;6.3
Shorts: Miteinander;sat;14:30;79;Koki;6.1
Overview;sat;15:15;32;InfinityDome;7.1
Spiele für Schulkinder + estnische Kurzfilme;sat;16:15;108;CineStar 4;6.2
Liv Ullmann – A Road Less Travelled;sat;16:45;102;CineStar 6;7.6
Vi lover et helvete | Saving the Fucking Planet E1-3;sat;16:45;210;CineStar 2;8.1
Shorts 16+: Wohin mit unseren Träumen?;sat;17:30;73;Koki;7.2
100 Jahre Planetarien;sat;18:00;58;InfinityDome;7.7
De umyndige | Bravehearts;sat;19:15;71;CineStar 1;8.1
Poetas | The Poet;sat;19:30;112;CineStar 3;7.3
Nordic Shorts 1: Cracks in the Exterior;sat;20:00;71;Koki;6.2
Sigade revolutsioon | Revolution of Pigs | Revolution der Schweine;sat;22:15;98;CineStar 4;6.2
Handen på Hjärtat | Out of Touch;sat;22:45;132;CineStar 2;6.9
Um Menino;sun;10:00;49;InfinityDome;3.8
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;sun;10:15;95;CineStar 1;6.7
Ung Flukt | The Wayward Girl | Die jungen Sünder;sun;10:15;94;CineStar 4;6.6
Päikeseaeg | Sundial;sun;10:45;65;Filmhaus 1;6.6
Å Øve | Practice;sun;13:00;79;CineStar 5;7.3
Tauche mit uns zum Hanseschiff | Dive into the Hanse Shipwreck;sun;13:00;30;InfinityDome;5.6
Afturelding | Coach | Balls;sun;13:30;88;Koki;7.9
Omnejd;sun;14:30;43;InfinityDome;7.3
Eine Geschichte des Sternentheaters – Multimedialer Vortrag von Tobias Wiethoff | A History of Star Theater – Multi Media Lecture by Tobias Wiethoff;sun;16:15;75;InfinityDome;7.6
Stille Liv | The Quiet Migration;sun;16:30;102;CineStar 3;6.3
Superposition;sun;16:30;102;Kolosseum;6.3
Estonia;sun;17:30;90;Koki;6.9
Shorts 14+: Eine Handbreit über dem Boden;sun;19:15;73;CineStar 1;7.4
