Dataset, Objective Value, Runtime (seconds)
NFL23_important233.csv, 138.29999999999998, 0.15288066864013672
NFL23_important251.csv, 61.3, 0.9620347023010254
NFL23_important211.csv, 159.40000000000003, 0.28133559226989746
NFL23_important307.csv, 139.29999999999998, 0.20497941970825195
NFL23_important109.csv, 208.00000000000003, 0.459322452545166
NFL23_important277.csv, 133.29999999999998, 0.14375567436218262
NFL23_important311.csv, 120.0, 0.11737346649169922
NFL23_important313.csv, 173.70000000000005, 0.3410987854003906
NFL23_important383.csv, 58.599999999999994, 0.8735387325286865
NFL23_important389.csv, 125.3, 0.0885615348815918
NFL23_important457.csv, 158.8, 0.18817901611328125
NFL23_important397.csv, 178.99999999999994, 0.40213942527770996
NFL23_important379.csv, 53.49999999999999, 0.23181438446044922
NFL23_important491.csv, 66.39999999999999, 1.390376329421997
NFL23_important593.csv, 142.0, 0.37575197219848633
NFL23_important659.csv, 183.10000000000002, 0.2605147361755371
NFL23_important751.csv, 191.80000000000004, 0.30954527854919434
NFL23_important983.csv, 137.0, 0.16986393928527832
NFL23_important641.csv, 145.4, 0.1926100254058838
