Dataset, Objective Value, Runtime (seconds)
NFL23_large107.csv, 185.70000000000002, 0.42029309272766113
NFL23_large109.csv, 217.50000000000003, 0.8078470230102539
NFL23_large127.csv, 178.79999999999998, 0.46915578842163086
NFL23_large227.csv, 201.8, 0.7885627746582031
NFL23_large277.csv, 198.50000000000003, 2.5393736362457275
NFL23_large343.csv, 291.70000000000005, 4.43720269203186
NFL23_large233.csv, 264.49999999999994, 8.236867427825928
NFL23_large293.csv, 133.0, 0.9467155933380127
NFL23_large383.csv, 186.0, 0.9151484966278076
NFL23_large401.csv, 176.09999999999997, 0.4137427806854248
NFL23_large509.csv, 187.19999999999996, 2.285438060760498
NFL23_large521.csv, 267.79999999999995, 4.0281267166137695
NFL23_large409.csv, 245.10000000000002, 1.8652591705322266
NFL23_large569.csv, 261.2, 10.256866216659546
NFL23_large607.csv, 277.29999999999995, 9.71451735496521
NFL23_large613.csv, 241.79999999999998, 5.3914501667022705
NFL23_large647.csv, 210.4, 0.7516486644744873
NFL23_large659.csv, 265.09999999999997, 8.801650047302246
NFL23_large733.csv, 198.5, 1.647820234298706
NFL23_large761.csv, 271.3, 6.629794597625732
NFL23_large677.csv, 219.99999999999997, 0.8197841644287109
NFL23_large787.csv, 274.09999999999997, 5.318902492523193
NFL23_large809.csv, 198.9, 0.6879100799560547
NFL23_large811.csv, 274.5, 8.696561336517334
NFL23_large821.csv, 248.39999999999995, 9.192095518112183
NFL23_large839.csv, 174.4, 2.169231653213501
NFL23_large877.csv, 139.8, 0.8784785270690918
NFL23_large881.csv, 205.39999999999998, 1.6261165142059326
