Tillsammans 99 | Together 99;wed;19:30;115;Kolosseum;6.5
Für Immer | For Ever;thu;16:15;87;CineStar 7;7.5
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
Vintersaga;thu;16:30;81;CineStar 3;7.3
Slow;thu;22:00;108;CineStar 5;7.5
Opus 136;fri;11:47;10;InfinityDome;6.3
Stille Liv | The Quiet Migration;fri;19:30;102;Kolosseum;6.3
Bastarden | The Promised Land | King’s Land;fri;22:30;127;Kolosseum;7.6
København findes ikke | Copenhagen Does Not Exist;sat;16:00;99;CineStar 5;5.9
Vintersaga;sun;10:30;81;CineStar 3;7.3
Tilverur | Solitude;sun;16:00;75;CineStar 5;7.7
Superposition;sun;16:30;102;Kolosseum;6.3
