Elaha;wed;18:15;90;CineStar 7;7.6
Twice Colonized;wed;19:45;92;CineStar 6;6.4
Superposition;thu;13:30;102;CineStar 3;6.3
Neona Pavasaris | Neon Spring;thu;16:15;102;CineStar 1;5.9
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;thu;19:15;109;CineStar 7;5.8
Miraklet i Gullspång | The Gullspång Miracle;fri;10:45;109;CineStar 6;8.3
Om det oändliga | About Endlessness | Über die Unendlichkeit;fri;10:45;78;CineStar 2;6.8
Opus 136;fri;11:47;10;InfinityDome;6.3
Roselil og stentrolden | Rosa and the Stone Troll;fri;13:15;75;CineStar 1;7.3
Shorts 10+: Verborgene Orte;fri;16:15;78;CineStar 1;5.6
100 Jahre Planetarien;fri;16:45;58;InfinityDome;7.5
Paradiset Brinner | Paradise Is Burning;fri;19:30;108;CineStar 3;6.8
Ellos eatnu – La elva leve | Let the River Flow;fri;22:30;122;CineStar 3;7.7
Roselil og stentrolden | Rosa and the Stone Troll;sat;10:15;75;CineStar 1;7.3
Helke Sander: Aufräumen | Helke Sander: Cleaning House;sat;13:15;82;CineStar 7;7.7
Hugo Hercules & The Wild West / The Artist W. H. D. Koerner;sat;16:15;88;CineStar 7;7.1
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;sun;10:15;95;CineStar 1;6.7
And the King Said, What a Fantastic Machine | Fantastic Machine;sun;15:00;85;Koki;7.2
Tilverur | Solitude;sun;16:00;75;CineStar 5;7.7
